Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
37.16892,27.12824,37.16544,195341,0.403343,143458,0.7344,1.82078,0,0,0,22734,1163.81,2885.42,0,0,0,0
45.59037,27.40823,45.26916,244161,0.339475,186275,0.76292,2.24735,0,0,0,25645,1050.33,3093.99,0.131799,0.00539803,0.0159011,0
46.57501,28.21085,46.53514,251831,0.328923,193381,0.7679,2.33459,0,0,0,26321.2,1045.19,3177.63,0,0,0,0
46.57501,28.21085,46.53514,251831,0.328923,193381,0.7679,2.33459,0,0,0,26321.2,1045.19,3177.63,0,0,0,0
45.0278,26.2513,44.58982,233494,0.354754,176358,0.7553,2.12908,0,0,0,25038.2,1072.33,3022.74,0,0,0,0
43.51607,28.18536,43.44966,238553,0.379703,179669,0.75316,1.98355,0,0,0,25628.4,1074.33,2829.39,0.20987,0.0087976,0.0231697,0
43.08894,28.2702,42.69697,238140,0.375498,177686,0.74614,1.98707,0,0,0,25557.7,1073.22,2858.14,0.330107,0.0138619,0.0369161,0
43.7574,28.89284,43.40899,246947,0.33888,187546,0.75946,2.24109,0,0,0,26228.2,1062.1,3134.14,0,0,0,0
43.18431,27.83768,42.8763,234940,0.361167,176219,0.75006,2.07677,0,0,0,25578.9,1088.74,3014.5,0,0,0,0
42.56656,27.71711,42.56656,233201,0.360661,176109,0.75518,2.09388,0,0,0,25095.8,1076.14,2983.81,0,0,0,0
43.26794,28.85024,42.38581,242026,0.346203,183829,0.75954,2.19391,0,0,0,25648.5,1059.74,3061.03,0.104935,0.00433568,0.0125235,0
43.98793,29.07479,43.93898,247662,0.351192,187624,0.75758,2.15717,0,0,0,26350.7,1063.98,3029.62,0,0,0,0
43.02207,27.8922,42.92786,235341,0.356482,177932,0.75606,2.12089,0,0,0,25104.1,1066.71,2992.33,0,0,0,0
42.84134,27.43402,42.79455,230778,0.37093,172640,0.74808,2.01677,0,0,0,25155.3,1090.02,2938.61,0,0,0,0
48.34036,29.16089,46.04338,276777,0.301583,216716,0.783,2.5963,0,0,0,27456.3,992,3289.31,0,0,0,0
46.35291,27.07883,44.36723,251293,0.332166,191510,0.7621,2.29433,0,0,0,26509.3,1054.92,3175.87,0.0584493,0.00232594,0.00700234,0
42.38753,27.74934,42.38753,233165,0.424437,172957,0.74178,1.74768,0,0,0,25304.6,1085.26,2556.95,0,0,0,0
42.97427,27.76127,42.97427,233345,0.375027,173104,0.74184,1.9781,0,0,0,25426.1,1089.64,2905.49,0,0,0,0
43.02319,27.95027,43.02319,234064,0.3675,176732,0.75506,2.05459,0,0,0,25117.7,1073.11,2920.04,0,0,0,0
43.35732,27.9093,43.34354,236858,0.347021,180315,0.76128,2.19376,0,0,0,24991.5,1055.13,3040.52,0.637807,0.0269278,0.0775972,0
41.47252,27.72771,40.8175,225757,0.361021,169864,0.75242,2.08415,0,0,0,24423.2,1081.84,2996.61,0,0,0,0
40.59765,27.62283,40.52341,219390,0.362038,166214,0.75762,2.09265,0,0,0,23846.2,1086.93,3002.26,0,0,0,0
47.28469,28.14655,47.28469,255139,0.330081,195421,0.76594,2.32046,0,0,0,26120.6,1023.78,3101.61,0.0329497,0.00129144,0.00391249,0
44.32952,28.7078,44.32952,250288,0.33095,191936,0.76686,2.31715,0,0,0,25982.3,1038.1,3136.71,0,0,0,0
43.30304,27.50426,42.79988,233714,0.357151,176192,0.75388,2.11082,0,0,0,25090.9,1073.57,3005.94,0,0,0,0
38.77785,27.54295,38.39021,208677,0.398736,152459,0.7306,1.83229,0,0,0,23655.9,1133.61,2843.02,0,0,0,0
37.76932,26.93649,37.73515,205164,0.408385,149540,0.72888,1.78478,0,0,0,23565.3,1148.61,2812.56,0,0,0,0
38.13742,27.3542,37.94225,205527,0.390894,150536,0.73244,1.87376,0,0,0,23343,1135.77,2905.56,0,0,0,0
39.02126,27.22722,38.03674,210634,0.384187,155018,0.73596,1.91563,0,0,0,23841.8,1131.91,2946.25,0,0,0,0
43.62667,27.21246,43.62667,233439,0.346889,176372,0.75554,2.17805,0,0,0,25080.4,1074.39,3097.22,0.0857912,0.0036751,0.0105945,0
38.5411,27.93045,38.5411,213957,0.376476,158816,0.74228,1.97165,0,0,0,23755.2,1110.28,2949.14,0,0,0,0
42.54401,27.69298,41.73156,235436,0.347102,178187,0.75684,2.18045,0,0,0,25202.9,1070.48,3084.04,0,0,0,0
42.46444,27.41288,42.16084,231808,0.352309,174834,0.75422,2.14079,0,0,0,24898.2,1074.09,3048.71,0.0658993,0.00284284,0.00806917,0
39.24004,27.83157,38.1727,212748,0.377873,157442,0.74004,1.95844,0,0,0,23750.8,1116.38,2954.39,0,0,0,0
38.80686,28.00247,37.3686,211309,0.387986,155198,0.73446,1.89301,0,0,0,24003.1,1135.93,2927.75,0,0,0,0
38.57675,26.83249,38.57675,207997,0.386755,152986,0.73552,1.90177,0,0,0,23476.8,1128.71,2918.41,0,0,0,0
39.4732,27.9339,39.4732,216161,0.376097,160175,0.741,1.97024,0,0,0,24037.9,1112.04,2956.78,0,0,0,0
43.56271,28.35137,43.56271,244158,0.338199,185965,0.76166,2.25211,0,0,0,25646.2,1050.39,3105.84,0,0,0,0
44.43914,27.44392,44.2256,240475,0.336294,183035,0.76114,2.26332,0,0,0,25849,1074.92,3196.36,0,0,0,0
